oficio_c8_4d,oficio_c8_label,occupation_name_isco08,grupo_exposicion_4d,ocupados,observaciones,exposicion_promedio_4d,desviacion_tareas_4d,participacion_empleo
3118,Delineantes y dibujantes técnicos,Draughtspersons,Minimal Exposure,24521.659192699557,340,0.35,0.11,0.0010682306463437178
3521,Técnicos de radiodifusión y grabación audio visual,Broadcasting and Audio-visual Technicians,Minimal Exposure,17450.186811340925,228,0.35,0.11,0.0007601779386056785
2163,Diseñadores de productos y de prendas,Product and Garment Designers,Minimal Exposure,15130.071873227726,191,0.35,0.09,0.0006591073764362867
2354,Otros profesores de música,Other Music Teachers,Minimal Exposure,11227.95054604107,152,0.35,0.09,0.0004891202823862565
2145,Ingenieros químicos,Chemical Engineers,Minimal Exposure,9437.680723232428,116,0.35,0.12,0.0004111312248383936
2355,Otros profesores de artes,Other Arts Teachers,Minimal Exposure,9068.77762412759,152,0.35,0.1,0.00039506079530920887
1322,Directores de explotaciones de minería,Mining Managers,Minimal Exposure,1624.6278107327541,27,0.35,0.11,7.077323776050624e-05
3256,Asistentes médicos,Medical Assistants,Gradient 1,485.2471463034011,7,0.35,0.23,2.1138694925115367e-05
2353,Otros profesores de idiomas,Other Language Teachers,Minimal Exposure,17183.795121954787,293,0.34,0.11,0.0007485731868922109
1323,Directores de empresas de construcción,Construction Managers,Minimal Exposure,9138.384645597633,103,0.34,0.06,0.00039809306783818773
3155,Técnicos en seguridad aeronáutica,Air Traffic Safety Electronics Technicians,Minimal Exposure,1861.050651171603,5,0.34,0.1,8.107246432049358e-05
1343,Directores de servicios de atención a personas mayores,Aged Care Service Managers,Minimal Exposure,416.46500405087363,14,0.34,0.09,1.8142356394433988e-05
2359,Otros profesionales de la educación no clasificados en otros grupos primarios,Teaching Professionals Not Elsewhere Classified,Minimal Exposure,49377.066302042826,909,0.33,0.1,0.0021510002661684112
3412,Trabajadores y asistentes sociales,Social Work Associate Professionals,Minimal Exposure,8509.1028907388,164,0.33,0.13,0.00037067983081198817
2262,Farmacéuticos,Pharmacists,Minimal Exposure,3380.356417517985,42,0.33,0.09,0.0001472575853200185
1431,"Gerentes de centros deportivos, de esparcimiento y culturales","Sports, Recreation and Cultural Centre Managers",Minimal Exposure,18426.03749496406,264,0.32,0.1,0.0008026886675212833
2144,Ingenieros mecánicos,Mechanical Engineers,Not Exposed,18258.202366322475,213,0.32,0.07,0.0007953773095687449
5113,Guías,Travel Guides,Minimal Exposure,8268.414650049057,162,0.32,0.11,0.0003601947917329081
8219,Ensambladores no clasificados en otros grupos primarios,Assemblers Not Elsewhere Classified,Minimal Exposure,4558.540426778267,73,0.32,0.17,0.00019858250814981781
3351,Agentes de aduanas e inspectores de fronteras,Customs and Border Inspectors,Minimal Exposure,2342.4769084597365,26,0.32,0.14,0.00010204471085358489
3116,Técnicos en química industrial,Chemical Engineering Technicians,Not Exposed,2304.401838099402,16,0.32,0.02,0.00010038605649006973
2230,Profesionales de medicina tradicional y alternativa,Traditional and Complementary Medicine Professionals,Minimal Exposure,1858.2895332609667,17,0.32,0.11,8.095218246080652e-05
2151,Ingenieros electricistas,Electrical Engineers,Not Exposed,21693.88969345812,300,0.31,0.08,0.0009450452608790572
7543,Clasificadores y probadores de productos (excluyendo alimentos y bebidas),Product Graders and Testers (except Foods and Beverages),Minimal Exposure,13409.897364108003,172,0.31,0.11,0.0005841718627640303
3212,Técnicos de laboratorios médicos,Medical and Pathology Laboratory Technicians,Minimal Exposure,7573.647820980598,157,0.31,0.16,0.0003299288454915979
1111,Directores formuladores de políticas y normas,Legislators,Not Exposed,7238.968486075819,112,0.31,0.04,0.00031534929687974646
2612,Jueces,Judges,Not Exposed,6596.125767149206,144,0.31,0.08,0.00028734530711135544
